run_accession	sample_accession	study_accession	tax_id	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR18360219	SAMN26664863	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/019/SRR18360219/SRR18360219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/019/SRR18360219/SRR18360219_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/019/SRR18360219	LC_9_C	
SRR18360222	SAMN26664866	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/022/SRR18360222/SRR18360222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/022/SRR18360222/SRR18360222_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/022/SRR18360222	LC_10_N	
SRR18360224	SAMN26664868	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/024/SRR18360224/SRR18360224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/024/SRR18360224/SRR18360224_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/024/SRR18360224	LC_11_N	
SRR18360227	SAMN26664870	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/027/SRR18360227/SRR18360227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/027/SRR18360227/SRR18360227_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/027/SRR18360227	LC_12_N	
SRR18360229	SAMN26664872	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/029/SRR18360229/SRR18360229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/029/SRR18360229/SRR18360229_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/029/SRR18360229	LC_13_N	
SRR18360240	SAMN26664845	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/040/SRR18360240/SRR18360240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/040/SRR18360240/SRR18360240_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/040/SRR18360240	LC H_C6	
SRR18360242	SAMN26664843	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/042/SRR18360242/SRR18360242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/042/SRR18360242/SRR18360242_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/042/SRR18360242	LC_H_C5	
SRR18360248	SAMN26664838	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/048/SRR18360248/SRR18360248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/048/SRR18360248/SRR18360248_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/048/SRR18360248	LC_H_N2	
SRR18360249	SAMN26664837	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/049/SRR18360249/SRR18360249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/049/SRR18360249/SRR18360249_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/049/SRR18360249	LC_H_C2	
SRR18360257	SAMN26664829	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/057/SRR18360257/SRR18360257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/057/SRR18360257/SRR18360257_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/057/SRR18360257	LC_S_C12	
SRR18360259	SAMN26664828	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/059/SRR18360259/SRR18360259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/059/SRR18360259/SRR18360259_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/059/SRR18360259	LC_S_N11	
SRR18360261	SAMN26664826	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/061/SRR18360261/SRR18360261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/061/SRR18360261/SRR18360261_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/061/SRR18360261	LC_S_N10	
SRR18360262	SAMN26664825	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/062/SRR18360262/SRR18360262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/062/SRR18360262/SRR18360262_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/062/SRR18360262	LC_S_C10	
SRR18360263	SAMN26664824	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/063/SRR18360263/SRR18360263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/063/SRR18360263/SRR18360263_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/063/SRR18360263	LC_S_N9	
SRR18360265	SAMN26664822	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/065/SRR18360265/SRR18360265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/065/SRR18360265/SRR18360265_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/065/SRR18360265	LC_S_N7	
SRR18360191	SAMN26664877	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/091/SRR18360191/SRR18360191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/091/SRR18360191/SRR18360191_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/091/SRR18360191	LC_16_C	
SRR18360194	SAMN26664818	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18360194/SRR18360194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18360194/SRR18360194_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/094/SRR18360194	LC_S_N5	
SRR18360195	SAMN26664817	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/095/SRR18360195/SRR18360195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/095/SRR18360195/SRR18360195_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/095/SRR18360195	LC_S_C5	
SRR18360196	SAMN26664888	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/096/SRR18360196/SRR18360196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/096/SRR18360196/SRR18360196_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/096/SRR18360196	LC_21_N	
SRR18360200	SAMN26664884	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/000/SRR18360200/SRR18360200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/000/SRR18360200/SRR18360200_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/000/SRR18360200	LC_19_N	
SRR18360202	SAMN26664882	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18360202/SRR18360202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18360202/SRR18360202_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/002/SRR18360202	LC_18_N	
SRR18360203	SAMN26664881	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18360203/SRR18360203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18360203/SRR18360203_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/003/SRR18360203	LC_18_C	
SRR18360208	SAMN26664874	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/008/SRR18360208/SRR18360208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/008/SRR18360208/SRR18360208_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/008/SRR18360208	LC_14_N	
SRR18360215	SAMN26664859	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/015/SRR18360215/SRR18360215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/015/SRR18360215/SRR18360215_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/015/SRR18360215	LC_7_C	
SRR18360218	SAMN26664862	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/018/SRR18360218/SRR18360218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/018/SRR18360218/SRR18360218_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/018/SRR18360218	LC_8_N	
SRR18360220	SAMN26664864	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/020/SRR18360220/SRR18360220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/020/SRR18360220/SRR18360220_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/020/SRR18360220	LC_9_N	
SRR18360221	SAMN26664865	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/021/SRR18360221/SRR18360221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/021/SRR18360221/SRR18360221_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/021/SRR18360221	LC_10_C	
SRR18360223	SAMN26664867	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/023/SRR18360223/SRR18360223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/023/SRR18360223/SRR18360223_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/023/SRR18360223	LC_11_C	
SRR18360225	SAMN26664815	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/025/SRR18360225/SRR18360225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/025/SRR18360225/SRR18360225_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/025/SRR18360225	LC_S_C4	
SRR18360226	SAMN26664869	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/026/SRR18360226/SRR18360226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/026/SRR18360226/SRR18360226_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/026/SRR18360226	LC_12_C	
SRR18360230	SAMN26664850	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/030/SRR18360230/SRR18360230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/030/SRR18360230/SRR18360230_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/030/SRR18360230	LC_2_N	
SRR18360231	SAMN26664851	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/031/SRR18360231/SRR18360231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/031/SRR18360231/SRR18360231_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/031/SRR18360231	LC_3_C	
SRR18360232	SAMN26664852	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/032/SRR18360232/SRR18360232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/032/SRR18360232/SRR18360232_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/032/SRR18360232	LC_3_N	
SRR18360234	SAMN26664854	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/034/SRR18360234/SRR18360234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/034/SRR18360234/SRR18360234_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/034/SRR18360234	LC_4_N	
SRR18360237	SAMN26664848	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18360237/SRR18360237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18360237/SRR18360237_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/037/SRR18360237	LC_1_N	
SRR18360238	SAMN26664847	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/038/SRR18360238/SRR18360238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/038/SRR18360238/SRR18360238_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/038/SRR18360238	LC_1_C	
SRR18360250	SAMN26664836	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/050/SRR18360250/SRR18360250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/050/SRR18360250/SRR18360250_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/050/SRR18360250	LC_H_N1	
SRR18360251	SAMN26664835	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/051/SRR18360251/SRR18360251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/051/SRR18360251/SRR18360251_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/051/SRR18360251	LC_H_C1	
SRR18360255	SAMN26664831	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/055/SRR18360255/SRR18360255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/055/SRR18360255/SRR18360255_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/055/SRR18360255	LC_S_C13	
SRR18360258	SAMN26664811	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/058/SRR18360258/SRR18360258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/058/SRR18360258/SRR18360258_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/058/SRR18360258	LC_S_C2	
SRR18360268	SAMN26664819	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/068/SRR18360268/SRR18360268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/068/SRR18360268/SRR18360268_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/068/SRR18360268	LC_S_C6